
pl_name,pl_orbsmax,pl_rade,st_rad,sy_dist
GJ 3929 b,0.025200,1.090,0.32,15.8095000
GJ 3929 c,0.081000,2.260,0.32,15.8095000
GJ 393 b,0.054020,1.170,0.43,7.0314900
GJ 3942 b,0.060800,2.570,0.61,16.9287000
GJ 3988 b,0.040500,1.740,0.20,9.9105000
GJ 3998 b,0.029000,1.380,0.49,18.1459000
GJ 3998 c,0.089000,2.380,0.49,18.1459000
GJ 411 b,0.078790,1.450,0.37,5.6757730
GJ 414 A b,0.232400,2.630,0.68,11.8893000
GJ 414 A c,1.400000,8.400,0.68,11.8893000
GJ 422 b,0.111000,3.330,0.37,12.6631000
GJ 4276 b,0.082000,4.220,0.41,21.3362000
GJ 433 b,0.062000,2.330,0.50,9.0645600
GJ 433 c,4.819000,6.270,0.47,9.0645600
GJ 433 d,0.178000,2.140,0.47,9.0645600
GJ 436 b,0.029100,4.170,0.46,9.7532100
GJ 463 b,3.530000,13.000,0.49,18.3554000
GJ 480 b,0.068000,3.690,0.46,14.2358000
GJ 486 b,0.017140,1.289,0.32,8.0742600
GJ 504 b,43.500000,13.000,1.26,17.5299000
GJ 514 b,0.422000,2.130,0.50,7.6177800
GJ 536 b,0.066610,2.170,0.50,10.4092000
GJ 581 b,0.040610,4.110,0.33,6.2981000
GJ 581 c,0.072100,2.210,0.33,6.2981000
GJ 581 e,0.028150,1.170,0.33,6.2981000
GJ 625 b,0.078361,1.490,0.31,6.4724900
GJ 649 b,1.112000,10.800,0.50,10.3796000
GJ 667 C b,0.050431,2.250,,7.2439600
GJ 667 C c,0.125000,1.770,,7.2439600
GJ 667 C e,0.213000,1.450,,7.2439600
GJ 667 C f,0.156000,1.450,,7.2439600
GJ 667 C g,0.549000,1.990,,7.2439600
GJ 674 b,0.039000,3.330,0.36,4.5489600
GJ 676 A b,1.735000,12.800,0.69,16.0272000
GJ 676 A c,9.726000,12.300,0.65,16.0272000
GJ 676 A d,0.039000,1.780,0.65,16.0272000
GJ 676 A e,0.181000,2.470,0.65,16.0272000
GJ 680 b,10.138000,12.000,0.46,9.6731500
GJ 682 b,0.080000,1.930,0.30,5.0067100
GJ 682 c,0.176000,2.890,0.30,5.0067100
GJ 685 b,0.134400,2.950,0.54,14.3155000
GJ 687 b,0.163000,4.320,0.42,4.5493900
GJ 687 c,1.165000,4.140,0.42,4.5493900
GJ 720 A b,0.119000,3.770,0.56,15.5575000
GJ 724 b,0.046850,3.270,0.52,16.9658000
GJ 740 b,0.029000,1.530,0.56,11.1017000
GJ 806 b,0.014060,1.331,0.41,12.0445000
GJ 806 c,0.052300,2.280,0.41,12.0445000
GJ 832 b,3.700000,13.800,0.44,4.9643500
GJ 849 b,2.320000,13.900,0.45,8.8005800
GJ 849 c,4.950000,13.800,0.45,8.8005800
GJ 86 b,0.110000,12.900,0.77,10.7836000
GJ 876 b,0.208317,13.300,0.30,4.6751700
GJ 876 c,0.129590,14.000,0.30,4.6751700
GJ 876 d,0.020807,2.510,0.30,4.6751700
GJ 876 e,0.334300,3.920,0.30,4.6751700
GJ 887 b,0.068000,1.880,0.47,3.2900000
GJ 887 c,0.120000,2.670,0.47,3.2900000
GJ 896 A b,0.639650,13.300,0.39,6.2602200
GJ 900 b,12000.000000,12.400,0.72,20.8065000
GJ 9066 c,0.880000,9.600,0.16,4.4710000
GJ 9404 b,0.094300,3.480,0.63,23.8839000
GJ 96 b,0.291000,4.670,0.58,11.9315000
GJ 9689 b,0.113900,3.070,0.57,30.6203000
GJ 9714 b,12.319000,12.500,0.66,20.5121000
GJ 9827 b,0.018900,1.440,0.58,29.6610000
GJ 9827 c,0.039500,1.130,0.58,29.6610000
GJ 9827 d,0.056300,1.890,0.58,29.6610000
GPX-1 b,0.033800,16.477,1.56,655.0130000
GQ Lup b,100.000000,33.600,1.94,151.1690000
GSC 06214-00210 b,320.000000,20.176,0.90,108.5000000
GU Psc b,2000.000000,14.179,0.45,47.5501000
Gaia-1 b,0.040470,13.776,0.95,363.6600000
Gaia-2 b,0.046700,14.818,1.06,209.2290000
Gaia22dkvL b,1.400000,14.100,,1270.0000000
Gl 378 b,0.039435,3.660,0.56,14.9545000
Gl 49 b,0.090500,2.240,0.51,9.8528000
Gl 686 b,0.091000,2.460,0.43,8.1572800
Gliese 12 b,0.066800,0.958,0.26,12.2100000
HAT-P-1 b,0.055610,14.785,1.17,158.9790000
HAT-P-11 b,0.052540,4.360,0.68,37.7647000
HAT-P-11 c,4.130000,13.300,0.68,37.7647000
HAT-P-12 b,0.038400,10.749,0.70,142.7510000
HAT-P-13 b,0.043830,14.258,1.76,246.8100000
HAT-P-13 c,1.258000,12.300,1.76,246.8100000
HAT-P-14 b,0.059600,15.917,1.82,222.6630000
HAT-P-15 b,0.096500,11.882,1.07,192.5160000
HAT-P-16 b,0.041300,14.448,1.24,226.6370000
HAT-P-17 b,0.088200,11.769,0.87,92.3831000
HAT-P-17 c,5.600000,13.100,0.84,92.3831000
HAT-P-18 b,0.055900,11.153,0.75,161.4000000
HAT-P-19 b,0.045990,11.299,0.77,202.0780000
HAT-P-2 b,0.068140,10.660,1.39,127.7740000
HAT-P-2 c,,12.400,1.42,127.7740000
HAT-P-20 b,0.036100,9.718,0.69,71.0374000
HAT-P-21 b,0.049400,12.442,1.21,277.2780000
